Closing
CTC PAID Date
Listing Started with Empower
Live on MLS Date
Listing PAID Date
Offer Started with Empower
Offer Prep PAID Date
Compliance Started with Empower
Compliance Est  Completion Date
Compliance PAID Date
CC Decline Date
CTC Withdrawn Date
Contract Terminated
CTC Terminated Paid Date
Partner HW Ordered
Partner HW Invoice Received
1st Transaction Date
Reassigned Date
UC Email Sent Date
