Listing Standard - 150
Listing Premium - 200
Listing Elite - 250
Listing Monthly
CTC Standard - 350
CTC Listing Discount - 300
CTC Dual Discount - 300
CTC Cash or New Build
CTC Monthly
CTC Terminated in Option - 50
CTC Terminated 50 Percent Complete
CTC Terminated 75 Percent Complete
Offer Prep - 40
Compliance Lite - 50
Compliance Only -  100
Compliance Plus -  150
Buyer Rep to be Paid w CTC
Social Add-on Paid w Listing
Billing Notes
Utility Concierge
Homeowners Insurance
Sellers Shield
Home Warranty
1st Listing with Empower
1st CTC with Empower
Utility Concierge Taken
Home Insurance Taken
Home Warranty Taken
Listing PAID Amount
CTC PAID Amount
Offer Prep PAID Amount
Compliance PAID Amount
Initial Offer Prep - 100
CTC Term - No Charge
CTC Term - Compliance 50
